id,value,category
1,16719941.96,B
2,13726847.85,B
3,14084633.14,B
4,21276757.82,C
5,14454667.05,A
6,8078121.46,A
7,6033352.2,C
8,10476691.03,B
9,9591091.33,B
10,164462.11,D
11,10817328.2,A
12,4914989.09,D
13,4232744.65,B
14,5410395.86,A
15,7051871.92,C
16,6938745.6,A
17,2656671.42,B
18,6118585.7,D
19,12123928.28,B
20,15301567.46,A
21,7545215.57,D
22,256988.07,D
23,20455598.44,D
24,16110656.62,A
25,20072289.62,B
26,7640104.9,A
27,10179138.46,B
28,6693364.97,C
29,11378386.33,C
30,11270808.27,A
31,7203939.94,C
32,16431107.97,B
33,17926792.72,B
34,3347356.25,D
35,14590017.48,D
36,15548573.04,B
37,2437101.33,B
38,13889564.66,A
39,16896193.43,D
40,2799975.01,C
41,19981636.54,D
42,11443950.37,B
43,3455386.42,B
44,17967991.72,D
45,2095100.54,B
46,16287912.5,C
47,11027861.68,D
48,10842937.67,D
49,10235641.22,D
50,16304650.65,A
