id,value,category
1,8504796.14,A
2,3812370.25,C
3,9579494.18,D
4,14479991.23,A
5,1343879.95,C
6,2294283.21,C
7,2812146.76,B
8,1325414.86,A
9,1286510.44,B
10,18644720.79,C
11,15105096.77,A
12,21447302.91,B
13,3904337.75,A
14,5185380.93,C
15,88202.93,C
16,7010133.46,C
17,4178052.05,A
18,11453951.52,D
19,9351691.53,C
20,14088055.74,C
21,3845255.64,D
22,3887029.6,C
23,3299370.97,C
24,17083433.19,C
25,3451421.11,D
26,19610399.17,C
27,15201682.77,D
28,19996430.46,C
29,6254181.96,A
30,11714393.75,C
31,11641203.46,A
32,3213324.21,D
33,21304137.14,C
34,3645606.85,A
35,10277942.46,C
36,15821586.91,B
37,5300494.98,A
38,1249066.74,A
39,3679144.45,D
40,18454694.64,D
41,13478328.88,B
42,8424801.29,C
43,3695668.84,A
44,12040355.07,B
45,4834492.86,A
46,6701287.11,A
47,5729928.02,B
48,6799087.47,A
49,17860985.69,B
50,16631202.97,B
