id,value,category
1,12262261.97,A
2,10860124.96,C
3,3893135.22,C
4,8977123.08,A
5,10975681.04,A
6,12810651.64,D
7,8267254.38,A
8,7554135.1,C
9,63427.35,C
10,16748363.65,A
11,18126371.81,C
12,17030759.28,A
13,899860.76,D
14,11125403.65,D
15,21265582.08,C
16,2532701.63,A
17,14347412.4,A
18,18502197.99,B
19,15442573.59,C
20,20315778.48,D
21,18915821.58,C
22,1624566.77,A
23,5581893.12,A
24,15126788.73,A
25,14560675.04,B
26,9398254.35,C
27,3115815.89,D
28,17768817.18,D
29,16325658.73,D
30,20107647.17,C
31,21050245.37,C
32,11353663.68,B
33,6952799.02,C
34,12003643.9,D
35,9191073.46,D
36,18828319.57,B
37,16768727.8,B
38,5484224.9,D
39,11278257.48,B
40,1353772.14,D
41,16940299.45,D
42,14777093.41,C
43,4064939.14,B
44,6199786.97,D
45,789629.06,D
46,3094263.36,A
47,10524672.13,B
48,7443245.4,A
49,18136897.98,B
50,8852525.01,A
