id,value,category
1,19850711.59,A
2,1568797.9,D
3,1741503.19,A
4,9359171.13,D
5,17617585.34,D
6,16548443.74,C
7,15540458.61,A
8,11374925.53,B
9,6541485.96,D
10,268344.57,B
11,4372640.46,B
12,17822831.33,B
13,253270.94,A
14,3257738.17,D
15,20706601.47,D
16,5067206.53,B
17,4303592.46,A
18,1726777.77,A
19,119594.11,C
20,14187688.55,D
21,9184472.92,D
22,4684686.81,C
23,7408419.38,A
24,14070208.56,A
25,856616.99,C
26,18927210.78,B
27,11617991.32,A
28,17719168.12,D
29,9815042.48,D
30,7397903.26,B
31,7018437.36,C
32,7502810.11,A
33,1845442.19,D
34,21378233.25,B
35,17712668.19,D
36,12803838.73,D
37,19395301.15,C
38,11825367.26,B
39,17169192.39,C
40,19053762.68,B
41,188846.39,D
42,15313362.87,B
43,5734629.55,A
44,19353778.02,C
45,15730791.17,A
46,15233502.19,D
47,10036917.17,A
48,1303254.24,D
49,13047687.26,A
50,7162599.42,C
