id,value,category
1,18297849.51,D
2,16446209.84,B
3,19002221.32,A
4,19611361.2,D
5,15114391.12,D
6,15390098.75,C
7,10558637.88,C
8,5502400.78,D
9,17481390.55,C
10,13157591.89,B
11,20170901.05,B
12,1241036.26,B
13,7578042.95,B
14,19127027.08,B
15,19695400.98,D
16,15865358.19,A
17,15690167.8,B
18,18929636.8,C
19,13665444.26,B
20,19241160.34,D
21,13369069.21,A
22,6942972.92,C
23,10338776.14,A
24,1181126.2,A
25,14318742.12,C
26,10113678.09,A
27,3175866.17,D
28,14790442.74,A
29,16832915.33,C
30,12110750.57,A
31,8868367.79,A
32,18552764.01,A
33,19917145.65,D
34,950405.86,D
35,1690285.74,B
36,14575977.02,A
37,8192150.58,A
38,17978697.05,B
39,14428430.03,B
40,10104629.6,D
41,18614881.79,B
42,8838128.97,B
43,545746.29,D
44,17604407.99,C
45,13773258.66,D
46,19837661.59,A
47,20095328.5,A
48,15297334.96,B
49,20905914.02,B
50,17152055.9,B
