id,value,category
1,18691192.07,B
2,6472686.45,C
3,18774638.07,C
4,9126508.71,D
5,5510008.77,A
6,9939678.22,C
7,14251462.17,B
8,21155656.7,A
9,19651461.84,D
10,6916128.66,D
11,10867284.02,B
12,8235995.18,B
13,2170281.84,D
14,5115341.02,D
15,2879226.11,B
16,8400894.68,B
17,5480453.17,B
18,4348834.3,D
19,6511632,A
20,14513684.35,B
21,5311453.61,C
22,5789004.13,A
23,12222211.64,B
24,1718064.3,B
25,5458342.14,B
26,17002771.15,B
27,16711213.13,A
28,5813113.19,A
29,12538839.71,B
30,12161229.62,D
31,824410.23,B
32,21434911.01,D
33,10789475.41,C
34,17034189.78,C
35,3043676.43,D
36,16266044.09,C
37,5587342.71,C
38,5223935.67,C
39,15070016.53,D
40,6844338.07,B
41,890791,A
42,6896054.97,B
43,21386336.29,B
44,15319200,A
45,15599859.73,B
46,14983921.51,D
47,13166789.36,D
48,20122487.68,B
49,3449840.86,C
50,14382733.38,B
