id,value,category
1,5043155.46,C
2,7610961.75,C
3,6514703.42,C
4,11316404.38,D
5,7639743.77,A
6,15435572.81,B
7,5740717.92,D
8,11793738.51,A
9,12524797.84,C
10,6821173.87,C
11,3507829.48,D
12,3059348.44,C
13,4102450.69,C
14,7005948.18,B
15,10662559.87,B
16,17721621.09,B
17,8771457.04,C
18,16836695.72,D
19,21176754.01,C
20,19189900.05,D
21,15232564.74,D
22,5894124.39,A
23,2728557.38,B
24,5123441.15,C
25,16251472.99,D
26,2053013.16,C
27,16064914.21,B
28,11478542.7,B
29,5315949.62,C
30,2407724.9,D
31,7575054.56,D
32,19295026.75,A
33,989826.47,C
34,20788430.14,D
35,6238467.11,B
36,12271671.42,A
37,12618042.59,C
38,10720376.84,A
39,15191455.68,C
40,5376364.48,C
41,14249960.19,D
42,4992202.94,C
43,12071736.93,C
44,12428991.33,C
45,8986815.93,B
46,11683648.76,A
47,3688805.42,B
48,8490069.41,B
49,8567593.94,C
50,5628537.07,D
