id,value,category
1,3702747.78,B
2,10252164.32,B
3,8541356.36,D
4,108015.96,D
5,20517223.58,B
6,6072983.1,D
7,3671759.18,C
8,3723319.42,A
9,4734446.49,B
10,5000683.4,D
11,16336660.66,D
12,14074937.88,D
13,19744918.52,C
14,2084369.23,C
15,20644623.92,B
16,2981430.36,D
17,14720289.75,C
18,17619160.97,B
19,545017.28,B
20,5944942.69,D
21,14276196.73,C
22,4945732.84,A
23,19581165.69,B
24,8226359.25,C
25,20849306.76,B
26,7119294.32,B
27,19546914.1,A
28,8220425,B
29,12019323.77,A
30,1544334.94,B
31,11263291.94,A
32,3945250.67,D
33,1085042.33,D
34,14464302.22,C
35,8603798.54,A
36,17149586.24,B
37,18991767.81,D
38,12134982.97,C
39,3581391.84,B
40,19493485.4,B
41,1075990.37,A
42,12339280.03,B
43,15760010.72,C
44,15346434.94,D
45,2263708.8,B
46,4428233.42,D
47,20193317.2,C
48,19271624.68,D
49,998915.11,C
50,10639686.12,D
