id,value,category
1,16564918.23,A
2,859316.9,D
3,16242599.78,C
4,2795555.67,D
5,4190342.37,A
6,6648174.12,C
7,19720077.61,C
8,20072783.56,B
9,10269045.36,D
10,11326146.19,D
11,7731279.93,C
12,3506107.09,A
13,11209698.95,A
14,7091696.46,D
15,21282228.7,B
16,709079.9,B
17,814311.26,D
18,21238744.16,D
19,18662271.1,C
20,10738178.76,C
21,11613089.33,B
22,6482625.13,C
23,1114346.92,D
24,7284302.53,C
25,16124892.91,C
26,11165493.37,C
27,13515167.09,D
28,8175873.8,A
29,4998300.55,A
30,20499064.78,A
31,17085386.69,C
32,20146628.21,A
33,19492049.49,C
34,7924661.76,C
35,14673756.91,B
36,3674801.71,B
37,19518740.12,B
38,15958700.11,A
39,192453.13,B
40,15791857.37,A
41,11348283.14,A
42,9303424.02,A
43,10277940.44,B
44,9129367.38,D
45,19519667.31,A
46,15071334.36,A
47,208581.46,A
48,13874645.09,D
49,10231826.59,C
50,15903428.48,C
