id,value,category
1,19740282.14,C
2,11108037.86,C
3,2949493.37,B
4,21328702.36,B
5,13818033.45,A
6,6370560.96,C
7,19465436.51,C
8,6299377.4,A
9,16211354.31,B
10,10127275.11,B
11,13529543.06,C
12,10130581.49,D
13,19979863.05,D
14,16620297.95,B
15,13465363.26,D
16,19221752.77,A
17,10191576.27,A
18,21034984.58,A
19,1149812.83,A
20,7400761.21,A
21,10947792.17,A
22,12704756.81,A
23,16937302.45,D
24,20580188.15,A
25,2853127.22,A
26,17903113.69,A
27,18697628.62,C
28,5010777.53,D
29,12099289.08,D
30,9229119.68,B
31,1606349.85,D
32,11979290.11,B
33,7425430.23,B
34,7127597.93,B
35,4467743.7,D
36,4407631.67,B
37,398723.59,C
38,19344531.05,D
39,3597792.37,D
40,7950877.41,C
41,635060.87,B
42,9626155.39,A
43,2373824.44,C
44,2134669.85,B
45,7981374.19,D
46,16430488.76,C
47,5031728.25,D
48,10558152.61,C
49,13528406.74,A
50,15471462.17,B
