id,value,category
1,8382318.85,C
2,9065117.74,D
3,10864375.78,B
4,18436195.45,B
5,1899408.84,C
6,1283811.76,D
7,14161461.18,C
8,7657797.19,D
9,10043711.37,C
10,2510945.64,B
11,9879169.29,D
12,10672852.89,D
13,15626335.87,B
14,14606843.67,B
15,16301249.29,B
16,19254687.4,B
17,8930690.99,D
18,3716517.48,C
19,11853312.13,C
20,12254603.46,B
21,5534101.1,C
22,16894916.93,A
23,18729456.35,A
24,10313579.59,B
25,10381521.09,D
26,20961830.4,D
27,3179198.46,C
28,20922782.85,B
29,18475047.47,B
30,17881125.56,A
31,8320071.12,A
32,14331829.25,C
33,2219042.61,D
34,3852823.79,C
35,42292.87,A
36,5288203.62,C
37,16628806.75,D
38,13748767.35,B
39,19936538.27,A
40,3511362.92,C
41,20576370.44,B
42,3539010.54,B
43,10780791.64,D
44,8193017.44,B
45,17699962.52,D
46,20565546.22,B
47,11632566.04,D
48,4970598.93,B
49,12601995.12,D
50,18127355.76,A
