id,value,category
1,19159029.4,A
2,12374086.12,D
3,19998164.59,B
4,16391579.71,A
5,15437863.84,D
6,9385794.23,D
7,10415064.64,A
8,5952981.01,C
9,12150780.07,A
10,13295914.79,D
11,12569186.92,A
12,10259489.21,B
13,13977273.94,A
14,4741438.48,C
15,2702420.33,A
16,10114368.88,A
17,7519785.55,C
18,5528720.8,B
19,15102354.18,C
20,9273989.05,C
21,7842746.05,C
22,2707200.53,B
23,12077009.65,D
24,20214344.09,B
25,11404352.96,C
26,16787299.17,B
27,199743.21,A
28,1333335.35,A
29,12358763.34,D
30,124545.93,B
31,7490505.73,D
32,2860086.67,C
33,17289019.27,A
34,5070846.91,A
35,20350488.39,A
36,6830655.24,B
37,8696626.62,A
38,12715837.07,C
39,7694334.97,B
40,813448.47,D
41,3706021.49,C
42,624954.95,D
43,11706653.33,A
44,9711247.92,C
45,12463381.33,C
46,2442230.63,B
47,14664010.11,C
48,960665.6,C
49,20087585.2,D
50,10567617.83,C
