id,value,category
1,13530163.41,D
2,14707960.25,A
3,12329377.16,A
4,1308192.36,B
5,3542599.2,B
6,18873793.34,A
7,8117748.4,D
8,10956985.2,A
9,10167925.22,A
10,15081348.88,D
11,9028676.6,A
12,15066098.9,A
13,13767440.85,D
14,186955.7,D
15,12070783.9,A
16,4484996.16,C
17,7636405.69,B
18,16755188.44,B
19,10022917.44,C
20,8658741.7,C
21,15748873.61,A
22,3359891.58,C
23,16751724.31,B
24,3041959.15,C
25,15342858.32,B
26,13897312.41,D
27,5824251.53,A
28,5048445.03,D
29,11872067.72,B
30,944858.07,D
31,5810050.8,C
32,14163295.8,B
33,17125961.39,B
34,16747549.86,D
35,14432294.1,B
36,18205436.46,B
37,5104495.78,D
38,20724377.74,B
39,5903894.65,B
40,3365469.31,B
41,17506317.08,C
42,16888054.26,C
43,18766367.59,C
44,9519865.91,D
45,5172822.78,B
46,21357013.71,B
47,19452457.5,D
48,18927738.59,D
49,16419504.92,C
50,20397734.29,D
