id,value,category
1,18307037.59,D
2,4945051.28,C
3,19828512.96,D
4,15850137.21,A
5,9201583.58,B
6,1981554.21,B
7,6092450.68,C
8,20852039.19,D
9,14992645.59,D
10,4284243.78,C
11,5034187.99,B
12,2476805.16,C
13,8225495.07,B
14,357257.48,C
15,14384420.37,C
16,1949462.33,D
17,1213323.15,D
18,15377321.89,B
19,21380389.54,D
20,15961401.3,B
21,11562730.56,A
22,14218594.29,D
23,11944370.21,C
24,9842260.35,B
25,15471016.77,A
26,11602477,B
27,21401786.9,D
28,11433892.7,B
29,1000267.78,B
30,10050965.91,A
31,131594.12,B
32,19428079.66,C
33,854196.07,A
34,18365310.81,C
35,13287228.12,C
36,8867932.62,A
37,2932197.27,D
38,8700268.34,A
39,19150361.15,A
40,10084231.03,A
41,7102650.57,B
42,17558481.98,C
43,19484184.1,D
44,2456043.88,B
45,8055934.48,A
46,11767401.08,B
47,15423069.2,A
48,8045062.16,B
49,3215748.08,A
50,10328827.02,A
