id,value,category
1,12008628.59,C
2,14336339.89,C
3,19923324.32,B
4,10803436.36,B
5,20201346.84,D
6,17740876.18,B
7,4607367.95,B
8,20063911.86,C
9,4908409.73,A
10,8825623.6,C
11,20804470.22,C
12,15062719.88,A
13,15399022.54,A
14,13013853.06,B
15,14402595.25,A
16,7258996,C
17,19642366.54,D
18,16566246.33,A
19,18179611.92,B
20,18676891.15,B
21,5558628.44,B
22,19435561.8,B
23,17554906.33,B
24,2040610.12,A
25,14611825.33,D
26,4625526.99,B
27,19828666.45,D
28,8911810.67,C
29,7884451.81,B
30,19277455.33,A
31,5191791.97,B
32,14615516.48,D
33,740466.92,A
34,10627784.65,A
35,7878511.89,C
36,11846208.99,D
37,12725338.9,B
38,19886305.36,A
39,19245017.47,D
40,4287835.72,B
41,2723956.3,B
42,20328415.94,D
43,19296696.48,A
44,5843867.3,B
45,15534452.47,C
46,13384498.57,C
47,13212112.48,D
48,19074947.67,D
49,138736.19,B
50,157915.68,C
