id,value,category
1,15990672.81,D
2,5043996.88,B
3,16416943.96,A
4,18082754.45,B
5,20117185.34,D
6,2840969.02,C
7,5889057.37,C
8,10525785.97,A
9,11541597.31,B
10,4364106.97,A
11,7517682.02,D
12,1779356.33,B
13,8487574.24,B
14,15512360.32,A
15,2526668.27,B
16,4215954.21,B
17,6630954.31,B
18,11553663.17,A
19,3513959.52,D
20,7048182.18,B
21,8672662.32,A
22,17102121.13,C
23,5330537.02,B
24,19978163.5,B
25,300430.5,B
26,20637856.22,C
27,11702008.23,C
28,13247963.96,C
29,17354397.46,D
30,2121280.87,B
31,12534708.08,C
32,19226238.25,B
33,4621564.21,C
34,3130035.21,A
35,14974279.54,A
36,1178685.22,D
37,726376.2,A
38,11455927.61,A
39,11342949.57,A
40,19317125.03,A
41,17582804.84,D
42,1168128.19,D
43,12513740.03,A
44,393419.53,B
45,453561.75,A
46,19554136,C
47,14115314.21,D
48,3139486.69,D
49,4605606.83,A
50,13137730.96,C
