id,value,category
1,14804915.19,C
2,4401036.79,A
3,12552696.49,A
4,20252797.59,C
5,3766786.16,D
6,20298040.88,D
7,8779026.47,C
8,3375071.34,C
9,11576302.6,D
10,2852727.68,A
11,11679249.67,C
12,9233011.14,C
13,17441956.63,B
14,17881203.85,C
15,6424233.68,D
16,5168279.32,D
17,6958368.65,B
18,5155108.49,A
19,5297807.4,A
20,2900571.69,A
21,3899788.95,A
22,9941493.48,A
23,11706186.72,C
24,21416958.59,C
25,20616849.48,D
26,12424743.19,A
27,14204981.58,D
28,7638727.33,B
29,20043179.59,D
30,7569049.06,D
31,19551254.66,A
32,12897981.95,B
33,18466073.09,B
34,939326.62,B
35,5485655.92,A
36,12099477.18,D
37,5885685.5,A
38,8863014.25,D
39,15036775.34,C
40,4684296.64,A
41,6633406.17,C
42,20332372.52,A
43,6162705.42,A
44,19579585.47,C
45,20216743.45,A
46,6792981.26,D
47,6395170.32,B
48,16009115.27,A
49,17207974.92,D
50,20270203.37,B
