id,value,category
1,5818540.24,A
2,20101513.91,D
3,12695412.33,B
4,14482622.62,C
5,13162782.6,D
6,531025.65,A
7,20850395.92,B
8,1862534.42,B
9,11241748.84,B
10,19580863.87,A
11,21187907.04,D
12,2864816.45,C
13,7550435.41,D
14,17422618.25,D
15,15189553.17,D
16,9179719.03,A
17,17482737.19,C
18,1674409.08,D
19,15966006.34,D
20,17571390.67,A
21,484968.77,A
22,9893343.01,A
23,7368768.49,A
24,8483644.03,B
25,20852455.17,B
26,13128184.6,B
27,18409894.72,B
28,1107575.39,A
29,20022061.27,C
30,356162.73,B
31,13078329.77,A
32,342598.16,B
33,3843864.88,B
34,10597132.44,B
35,2261581.96,A
36,15180523.18,A
37,15166280.83,B
38,8041926.87,A
39,4864906.45,B
40,3475070.38,B
41,2310423.7,A
42,1031977.73,C
43,2673175.95,C
44,15941062.54,D
45,9156885.29,B
46,17884929.09,C
47,16436831.4,B
48,16887670.11,B
49,1986275.13,A
50,15427508.4,B
