id,value,category
1,16231961.54,C
2,6362730.8,D
3,14107980.15,A
4,6650467.15,A
5,14483338.66,A
6,19178307.14,A
7,4073241.27,D
8,13007031.37,B
9,8832876.33,B
10,3927813.85,B
11,20681249.73,D
12,8718986.95,A
13,1640744.94,C
14,10322908.72,D
15,17652863.03,D
16,2673646.37,D
17,20146165.6,B
18,11865524.74,C
19,20314618.51,B
20,5876313.16,A
21,20626286.35,D
22,14320554.36,A
23,13551392.49,D
24,7371799.56,A
25,15296956.34,A
26,10047333.31,B
27,747079.98,C
28,3038758.66,D
29,5657051.24,A
30,1139676.11,D
31,3018949.2,B
32,5611733.71,A
33,7101811.7,B
34,1879612.83,C
35,16339733.56,B
36,9798277.68,B
37,12012482,D
38,4605766.5,D
39,18664080.3,A
40,20408755.02,D
41,10509900.51,B
42,15765477.35,C
43,10675965.42,A
44,13830736.01,B
45,14659207.64,C
46,8877059.59,C
47,1368282.4,C
48,14095815.94,C
49,16191662.83,A
50,17029885.77,A
