id,value,category
1,1158930.11,A
2,16999972.35,B
3,20601270.01,B
4,1040436.67,C
5,19673567.24,B
6,14069417.99,B
7,13992509.11,A
8,5660668.72,B
9,6419429.22,B
10,20825405.46,D
11,7289812.02,B
12,8539221.38,B
13,5674521.84,A
14,20759896.77,C
15,9635637.55,D
16,1503788.02,A
17,16382175.78,D
18,6277796.68,B
19,12425867.86,D
20,7578745.3,C
21,12711528.97,A
22,10583759.05,C
23,3239660.97,D
24,2624504.4,D
25,16416445.87,A
26,2690810.67,B
27,11561605.5,B
28,12366256.79,B
29,21052423.14,A
30,6894756.14,B
31,7689700.65,D
32,2849499.5,A
33,12132112.16,A
34,892615.98,C
35,18097420.81,D
36,11740875.15,A
37,5260933.5,A
38,5335879.81,B
39,1508735.84,A
40,11034541.03,D
41,9179220.41,B
42,15470312.23,D
43,13021691.83,A
44,15225994.32,D
45,5571857.7,C
46,6414810.41,A
47,2813296.72,C
48,14277245.53,B
49,7023249.27,C
50,10733774.34,B
