id,value,category
1,2624895.61,B
2,1341317.65,C
3,10422855.18,C
4,15718996.3,B
5,19300774.77,D
6,145653.17,C
7,8788512.24,C
8,5586860.94,A
9,14655502.41,C
10,19722333.71,B
11,2713985.09,B
12,12409391.39,D
13,11658360.6,D
14,12319818.48,A
15,17019770.18,C
16,9249852.48,C
17,13545897.15,C
18,16460652.2,B
19,10643963.61,A
20,4569029.53,D
21,11831072.07,C
22,10656675.49,C
23,7546963.64,B
24,14903283.14,A
25,8037364.39,D
26,763577.15,B
27,18521071.62,A
28,12240112.94,C
29,5014362.14,A
30,3948754.92,B
31,8177572.21,A
32,19476302.04,C
33,12215417.29,B
34,3211915.29,B
35,17164569.28,A
36,7025303.85,D
37,21366595.42,B
38,10204509.27,C
39,164670.45,B
40,16536715.72,C
41,1556063.88,B
42,736014.6,D
43,9430776.53,C
44,19240842.94,C
45,7152285.61,C
46,17224901.56,C
47,6904519.45,D
48,8942218.94,C
49,11525745.69,D
50,17623120.1,C
