id,value,category
1,19195845.89,A
2,17296906.65,A
3,8737887,B
4,2512844.82,C
5,14305099.72,D
6,4559525.89,C
7,2216138.46,C
8,6635493.23,D
9,11770105.23,D
10,14400288.57,D
11,10627149.32,D
12,9078840.21,C
13,11290373.22,B
14,12279857.25,A
15,10656535.53,C
16,6995128.64,D
17,4653562.99,C
18,13140207.62,C
19,10185617.17,C
20,8999155.44,B
21,12257998.43,D
22,2082856.85,C
23,15056203.34,C
24,5883653.11,C
25,20796819.91,D
26,12488629.94,B
27,14958357.91,C
28,19949673.73,C
29,2573451.23,D
30,8326620.65,B
31,7707427.94,D
32,898603.02,A
33,21147740.76,A
34,3404237.3,A
35,11227921.01,B
36,3865843.2,C
37,9030689.19,D
38,19269980.93,C
39,21384586.03,B
40,3616321.14,C
41,12061937.53,B
42,10618065.16,B
43,8618795.99,B
44,8996110.04,B
45,5201608.97,D
46,489770.99,D
47,14355392.17,C
48,7309457.35,A
49,7162565.44,B
50,18386139.03,A
