id,value,category
1,4146197.14,B
2,12830144.24,C
3,20695963.03,B
4,10878215.87,D
5,17915596.13,A
6,7693775.08,C
7,12624132.96,D
8,7418715.06,A
9,7709179.65,C
10,1923836.94,A
11,17844279.13,C
12,17198840.73,C
13,5723341.51,D
14,13039401.22,C
15,19959531.99,B
16,18007550.18,B
17,13543881.67,B
18,7177248.84,A
19,8777341.59,B
20,15108128.86,D
21,5917168.62,A
22,20097565.77,D
23,3166761.19,B
24,7506778.39,D
25,14392648.02,D
26,21283288.13,C
27,17101272.34,A
28,8776736.32,A
29,20740705.85,D
30,8146257.84,C
31,20838658.73,C
32,7374185.01,B
33,7947568.78,C
34,11714068.52,B
35,3469312.62,B
36,3312189.08,B
37,6532391.49,A
38,14995771.19,B
39,12707258.47,B
40,14597896.86,A
41,897735.47,B
42,4765005.4,A
43,9691305.58,B
44,3458265.47,A
45,18567187.42,B
46,5612759.38,C
47,19376953.66,A
48,18043701.48,D
49,2271188.46,C
50,2358733.69,A
