id,value,category
1,2090083.81,D
2,6511276.38,B
3,8165970.05,B
4,11559668.08,D
5,7277490.04,D
6,7614992.4,C
7,21042315.26,B
8,19625507.58,A
9,88634.48,C
10,7229699.06,C
11,5152252.54,D
12,17526536.53,C
13,5114105.56,D
14,7510045.28,C
15,3859541.31,A
16,20909329.12,B
17,12714081.5,A
18,11357246.66,B
19,15249054.31,C
20,12026458.11,D
21,10490649.31,A
22,19578391.6,A
23,7233114.38,A
24,16733790.63,B
25,15938107.28,D
26,903102.06,D
27,18242808.21,A
28,7536497.06,B
29,4389005.98,A
30,11403854.56,D
31,9262939.83,C
32,18882384.58,A
33,8818161.88,D
34,4073002.86,A
35,5751305.01,A
36,395563.53,D
37,11588953.5,A
38,17049481.5,C
39,13035125.94,D
40,21084039.34,A
41,8899952.34,D
42,3988684.86,B
43,12141023.65,B
44,8885202.34,A
45,9358401.85,B
46,4839398.01,D
47,13155692.33,D
48,7706521.03,C
49,8209160.68,C
50,14177471.2,C
