id,value,category
1,12643140.17,B
2,7186093.58,D
3,4821388.54,B
4,18343329.95,B
5,1072775.62,C
6,5980283.42,D
7,15892185.21,A
8,20474998.86,D
9,7470078.08,A
10,21192041.63,A
11,10880708.79,A
12,7235078.38,B
13,8549538.13,A
14,16750552.28,D
15,10617555.01,B
16,10637867.1,C
17,2437720.42,A
18,7196417.05,C
19,5211192.3,A
20,10139500.89,A
21,845999.46,D
22,6902977.71,B
23,15484314.46,A
24,8579500.94,B
25,3656008.64,C
26,5824735.3,B
27,6985903.24,B
28,1906196.63,A
29,17433534.03,A
30,9367178.08,C
31,11314009,B
32,13274209.17,C
33,7719168.02,B
34,16262018.92,D
35,17564382.5,D
36,13821026.88,C
37,13302028.82,C
38,5410713.98,B
39,6035638.44,D
40,3643980.82,C
41,14761581.33,B
42,4416901.27,D
43,6353336.56,C
44,1856524.6,D
45,7503678.51,A
46,3239026.75,B
47,17764712.77,B
48,4620561.54,B
49,6463932.01,C
50,5897648.19,A
