id,value,category
1,9810768.47,A
2,6560420.15,A
3,12828641.47,B
4,16088713.81,C
5,10074759.23,C
6,14630133.98,A
7,15485279.21,B
8,6058008.33,C
9,1725003.11,A
10,2253620.11,B
11,2416355.16,C
12,20180649.29,A
13,10499273.9,A
14,4496468.74,B
15,6409959.98,D
16,10973557.81,B
17,19144618.43,D
18,9594263.23,A
19,16934545.57,D
20,15812444.34,B
21,7110996.01,C
22,4556495.41,D
23,3984855.53,A
24,18004757.15,B
25,1562099.39,B
26,10781632.58,D
27,20770340.57,B
28,2876321.22,B
29,16923168.07,C
30,10288933.61,D
31,3196759.16,A
32,7471824.85,D
33,18828854.15,B
34,1289887.96,B
35,21182434.6,D
36,2488070.94,A
37,11260030.1,A
38,13157644.04,C
39,324688.48,C
40,3275729.78,A
41,5227258.17,D
42,19889.01,C
43,12578465.07,C
44,13849930.21,D
45,473801.98,C
46,4526568.57,C
47,11060615.84,A
48,17643981.36,D
49,6521140.71,B
50,20886050.75,B
