id,value,category
1,17599312.47,D
2,21249576.57,D
3,3709054.19,B
4,19109767.17,B
5,6357378.55,D
6,1008737.98,D
7,21299711.08,C
8,12894279.01,B
9,1081840.43,C
10,12135194.07,D
11,2056118.1,B
12,11529631.43,B
13,10217175.73,B
14,20563842.89,B
15,10331932.68,D
16,15473809.57,D
17,168220.55,B
18,10188714.76,C
19,11854114.02,C
20,16999699.38,D
21,4762214.69,A
22,9215316.38,A
23,20952899.91,B
24,18020168.73,C
25,3373930.17,B
26,5624382.45,C
27,20352019.27,D
28,7126402.72,A
29,19416900.42,A
30,16894807.54,D
31,11832593.87,A
32,6479966.91,B
33,17452900.41,A
34,15259528.49,D
35,10998450.53,C
36,11322656.28,C
37,6740472.21,B
38,8786901.49,C
39,19946263.97,A
40,15288032.59,A
41,7983911.21,D
42,12037190.38,B
43,21119556.82,A
44,20347424.63,D
45,1098958.44,B
46,16210221.63,D
47,3454246.28,C
48,18825198.21,B
49,5060.87,C
50,9056040.31,A
