id,value,category
1,8658473.44,C
2,18855023.8,A
3,8794116.51,C
4,15269129.55,C
5,11537435.37,A
6,1277870.4,A
7,5656457.18,C
8,20709464.53,D
9,9892830.31,C
10,15042860.32,A
11,7492530.32,D
12,17158607.95,B
13,18555753.01,C
14,12946929.85,D
15,11827582.96,D
16,4941485.94,A
17,5590598.22,A
18,2932746.84,D
19,6309374.83,C
20,3943849.37,C
21,5341175.06,D
22,8103760.26,B
23,19168462.49,D
24,16133569.18,C
25,7697562.83,A
26,9200922.18,D
27,17393158.6,A
28,17039638.48,B
29,12010052.05,C
30,16957882.44,D
31,20446561.26,B
32,14402905.51,C
33,4397405.82,B
34,7035123.3,C
35,6087104.62,C
36,5145587.85,C
37,10999030.2,D
38,17891876.27,D
39,10666701.98,B
40,16501471.42,B
41,6080097.01,C
42,4374499.14,A
43,14219407.28,D
44,8956122.41,A
45,18576612.29,A
46,9503920.66,A
47,18807032.99,B
48,5111721.52,C
49,14643223.16,C
50,21375545.7,C
