id,value,category
1,20223640.03,D
2,20490573.98,B
3,916972.6,C
4,8430252.96,C
5,17523670.3,B
6,19630597.59,A
7,20963187.04,B
8,11936478.49,C
9,13309641.17,D
10,21203999.43,A
11,17698650.86,B
12,9886591.29,B
13,16203718.56,C
14,1882820.84,A
15,1122296.97,A
16,7755828.68,C
17,88926.48,B
18,21232752.1,D
19,19832698.78,A
20,10916235.57,B
21,14935807.1,B
22,2814657.22,A
23,942075.86,B
24,7194219.83,D
25,11486853.55,B
26,5145101.35,C
27,16262963.79,C
28,20857251.69,B
29,28789.12,A
30,9087138.27,D
31,10662152.6,A
32,13260608.6,D
33,12392396.59,D
34,12791092.42,A
35,12336064.55,A
36,2707110.73,C
37,2342181.77,A
38,11753561.82,C
39,18742018.84,C
40,6875225.94,D
41,12350322.85,C
42,15108455.37,A
43,3208212.36,D
44,17014204.95,A
45,4519888.33,A
46,8399085.71,D
47,8970445.79,C
48,17872431.79,A
49,19805514.36,C
50,2529001.18,C
